filename,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment,note
LTU-03212-07563_06_04_00,LTU,Vilnius,Applied Research Institute for Prospective Technologies (ProTech),solar,modules,initial,,,announced,,,,,,True,False,False,False,
GBR-00845-02511_01_03_00,GBR,Oxford,BMW-UK-BEV,battery,cell_manufacturing,['initial'],['£26.2 million'],,announced,08-2021,,['NA'],,,True,True,False,False,
SWE-01026-00582_01_03_01,SWE,Skelleftea,Northvolt,battery,cell_manufacturing,first expansion,,,actual,['06-2023'],,,,,True,True,False,False,
POL-00583-00440_01_03_02,POL,Kobierzyce,LG,battery,cell_manufacturing,['second expansion'],['571 million USD'],,actual,11-2018,12-2018,['NA'],,700,True,True,False,False,
SWE-01158-00582_01_03_00,SWE,Umeå,Northvolt,battery,cell_manufacturing,['initial'],,['8 GWh'],actual,06-2018,07-2019,['NA'],,,True,True,False,False,
DEU-01150-00158_07_02_01,DEU,Tübingen,Customcells,vehicle,battery_vehicle_assembly,['first expansion'],,['100 MWh per year'],actual,07-2021,10-2022,['NA'],,,True,True,False,False,
ESP-01932-01118_01_03_00,ESP,Almaraz,Iberdrola,battery,deployment,initial,,,operational,,,01-2022,,,True,False,False,False,
DEU-00244-00108_01_04_00,DEU,Darmstadt,BorgWarner,battery,contractual,['initial'],['730 million EUR'],,announced,02-2021,,['NA'],,,True,False,False,False,
GBR-01376-00114_01_03_00,GBR,['Bro Tathan'],Britishvolt,battery,cell_manufacturing,['initial'],,['30 GWh'],cancelled,07-2020,,['NA'],,,True,False,False,False,
DEU-00798-00740_01_03_00,DEU,['North Rhine-Westphalia'],StreetScooter,battery,cell_manufacturing,['initial'],,['1 GWh'],announced,04-2019,,['NA'],,,True,True,False,False,
DEU-00620-00024_07_02_00,DEU,Langen,Akasol,vehicle,battery_vehicle_assembly,initial,10 million EUR,,actual,05-2017,05-2017,,,,True,True,False,False,
DEU-01242-00890_01_03_00,DEU,Wolfsburg,24M Technologies,battery,contractual,['initial'],,,announced,08-2021,,['NA'],,,True,False,False,False,
