filename,capacity,checked,company,component,country,dt_actual,dt_announce,dt_cancel,dt_operational,finetune,investment_value,jobs,location,phase,reject-phase,share-investment,status,tech
LTU-03212-07563_06_04_00,null,True,Applied Research Institute for Prospective Technologies (ProTech),modules,LTU,null,null,null,null,False,null,null,Vilnius,initial,False,False,announced,solar
SWE-01026-00582_01_03_01,null,True,Northvolt,cell_manufacturing,SWE,null,06-2023,null,null,False,null,null,Skelleftea,first expansion,True,False,actual,battery
ESP-01932-01118_01_03_00,null,True,Iberdrola,deployment,ESP,null,null,null,01-2022,False,null,null,Almaraz,initial,False,False,operational,battery
DEU-00620-00024_07_02_00,null,True,Akasol,battery_vehicle_assembly,DEU,05-2017,null,null,null,False,null,null,Langen,initial,True,False,actual,vehicle
BEL-06487-08471_01_00_00,null,True,CMI Group,deployment,BEL,null,null,null,null,False,null,null,Seraing,initial,False,False,actual,battery
ITA-06900-07509_01_00_00,118.2 MW,True,Terna,deployment,ITA,12-2020,12-2020,null,null,False,null,null,Northern and Central Italy,initial,True,,actual,battery
SWE-01026-00582_07_02_00,null,True,Northvolt,battery_vehicle_assembly,SWE,null,06-2021,null,null,False,null,null,Skelleftea,initial,True,False,actual,vehicle
ITA-00172-00848_01_01_00,null,True,Vulcan Energy,materials_refining,ITA,null,01-2022,null,null,False,null,null,Cesano,initial,False,False,announced,battery
BEL-06308-01626_01_00_00,null,True,Engie,deployment,BEL,07-2024,null,null,01-2026,False,null,null,Vilvoorde,initial,False,False,actual,battery
DEU-00456-00158_01_03_00,null,True,Customcells,cell_manufacturing,DEU,null,null,null,null,False,null,null,Heilbronn,initial,True,False,announced,battery
DEU-00418-00158_01_03_00,null,True,Customcells,cell_manufacturing,DEU,null,null,null,null,False,null,null,"""G\xE4rtringen""",initial,True,False,announced,battery
DEU-00057-00134_01_03_00,null,True,"""Centre for Solar Energy and Hydrogen Research Baden-W\xFCrttemberg""",cell_manufacturing,DEU,03-2020,null,null,null,False,null,null,"""Baden-W\xFCrttemberg""",initial,True,False,actual,battery
DEU-00213-00274_07_01_00,null,True,Ford,EV_component_manufacturing,DEU,null,null,null,null,False,null,3300,Cologne,initial,True,False,actual,vehicle
GBR-00225-00239_01_03_01,null,True,Eve Energy,cell_manufacturing,GBR,null,null,null,null,False,null,null,Coventry,first expansion,False,False,announced,battery
DEU-00213-00274_01_04_00,null,True,Ford,module_assembly,DEU,02-2021,null,null,06-2023,False,null,null,Cologne,initial,False,False,operational,battery
BEL-00366-00846_07_02_01,null,True,Volvo Group,battery_vehicle_assembly,BEL,null,null,null,10-2021,False,null,null,Ghent,first expansion,False,False,operational,vehicle
GBR-00809-00114_01_03_00,null,True,Britishvolt,cell_manufacturing,GBR,null,03-2022,null,null,False,null,3000,Northumberland,initial,True,False,actual,battery
NOR-00032-00540_01_03_01,null,True,Morrow Batteries,cell_manufacturing,NOR,null,null,null,12-2028,False,null,null,Arendal,first expansion,False,False,announced,battery
HUN-00384-00702_01_03_00,null,True,Samsung,cell_manufacturing,HUN,null,null,null,null,False,500 billion won,null,Goed,initial,True,False,announced,battery
AUT-01350-00927_01_03_00,null,True,Austrian Institute of Technology,cell_manufacturing,AUT,null,null,null,null,False,null,null,Vienna,initial,True,False,announced,battery
FRA-00274-01424_01_03_00,null,True,ACC,cell_manufacturing,FRA,null,null,null,05-2023,False,null,null,Douvrin,initial,False,False,operational,battery
AUT-03716-08804_01_99_00,null,True,Enerox,null,AUT,null,null,null,null,False,null,null,Austrian,initial,True,False,announced,battery
PRT-02780-02557_08_00_00,null,True,Endesa,deployment,PRT,null,null,null,null,False,null,null,Lisbon,initial,True,False,announced,wind
PRT-00716-00705_01_01_00,null,True,Savannah Resources,lithium,PRT,null,null,null,null,False,null,null,Mina do Barroso,initial,False,False,announced,mine
BEL-01729-01512_01_00_00,null,True,Centrica,deployment,BEL,07-2023,null,null,03-2024,False,null,null,Oostende,initial,False,False,actual,battery
ESP-01281-00120_01_03_00,null,True,CATL,cell_manufacturing,ESP,null,12-2024,null,null,False,"""\u20AC4.1 billion""",3000,Zaragoza,initial,True,,announced,battery
DEU-00546-00076_01_03_00,null,True,BMW,cell_manufacturing,DEU,null,null,null,null,False,null,null,Kaiserslautern,initial,True,False,announced,battery
ITA-02755-02908_01_00_00,null,True,FuturaSun,deployment,ITA,null,null,null,06-2021,False,null,null,Cuneo,initial,False,False,operational,battery
ITA-01352-01424_01_03_00,null,True,ACC,cell_manufacturing,ITA,10-2022,null,null,null,False,null,null,Termoli,initial,False,False,delayed,battery
DEU-00558-07319_01_03_00,null,True,Exyte Technology GmbH,cell_manufacturing,DEU,null,null,null,null,False,null,null,Karlsruhe,initial,True,False,operational,battery
BEL-00138-08861_02_00_00,null,True,European Heat Pump Association,deployment,BEL,null,null,null,null,False,"""\u20AC3 million""",null,Brussels,initial,True,,announced,geothermal
BEL-02119-01420_01_00_00,null,True,TotalEnergies,deployment,BEL,null,null,null,12-2025,False,null,null,Feluy,initial,False,False,announced,battery
AUT-01482-00434_07_01_00,null,True,Kreisel Electric,EV_component_manufacturing,AUT,null,null,null,null,False,null,null,Rainbach,initial,True,False,announced,vehicle
ESP-02199-02557_01_00_00,null,True,Endesa,deployment,ESP,null,null,null,null,False,null,null,Mallorca,initial,False,False,operational,battery
SWE-01026-00582_07_04_01,null,True,Northvolt,EV_recycling,SWE,null,null,null,null,False,null,null,Skelleftea,first expansion,True,False,actual,vehicle
ESP-00947-00832_01_03_01,null,True,Volkswagen,cell_manufacturing,ESP,03-2023,null,null,null,False,null,null,Sagunt,first expansion,True,False,actual,battery
BEL-00138-03023_06_04_00,null,True,Hydrogenics,deployment,BEL,null,null,null,null,True,null,6000,Brussels,initial,False,False,intended,solar
AUT-08218-08453_01_00_00,null,True,Burgerland Energie,deployment,AUT,07-2023,null,null,null,False,null,null,Schattendorf,initial,False,False,actual,battery
LVA-00922-00042_01_04_00,null,True,Anodox Energy Systems,module_assembly,LVA,05-2022,null,null,12-2022,False,null,300,Riga,initial,False,False,actual,battery
BEL-01829-01626_01_00_00,200 MW,True,Engie,deployment,BEL,null,04-2023,null,null,False,null,null,Vilvorde,initial,True,False,announced,battery
ITA-01548-01296_01_03_00,null,True,Sovema Spa,cell_manufacturing,ITA,null,12-2022,null,null,False,"""\u20AC4.85 million""",null,Verona,initial,False,False,operational,battery
SWE-01026-00582_01_05_00,null,True,Northvolt,recycling,SWE,null,null,null,null,False,null,null,Skelleftea,initial,True,False,actual,battery
BEL-01622-02993_06_00_00,null,True,Heliatek,deployment,BEL,null,null,null,null,False,null,null,Antwerp,initial,True,False,announced,solar
PRT-06958-01587_06_00_00,null,True,EDP,deployment,PRT,null,null,null,05-2022,False,null,null,Alqueva hydropower dam,initial,False,False,operational,solar
FRA-00770-01424_01_03_00,null,True,ACC,cell_manufacturing,FRA,null,null,null,01-2020,False,null,null,Nersac,initial,False,False,operational,battery
DEU-01111-00120_01_03_01,null,True,CATL,cell_manufacturing,DEU,07-2019,07-2019,null,12-2022,False,1.8 billion EUR,1500,Thuringia,first expansion,True,False,operational,battery
BEL-00138-06326_07_01_00,null,True,Vrije Universiteit Brussel,EV_component_manufacturing,BEL,null,null,null,null,False,null,null,Brussels,initial,True,False,announced,vehicle
ESP-01099-00073_01_00_00,null,True,BASF,recycling,ESP,null,null,null,null,False,null,null,Tarragona,initial,False,False,delayed,battery
BEL-00138-00799_01_02_00,null,True,Umicore,battery_materials,BEL,null,null,null,null,False,null,null,Brussels,initial,True,False,actual,battery
DEU-02604-00120_01_03_00,14 GWh,True,CATL,cell_manufacturing,DEU,null,10-2018,null,null,False,"""\u20AC240 million""",600,"""Th\xFCringen""",initial,True,False,announced,battery
ESP-00068-00768_07_00_00,null,True,Tesla,retail,ESP,null,null,null,null,False,null,null,Barcelona,initial,True,False,announced,vehicle
DEU-00119-00768_01_03_00,null,True,Tesla,cell_manufacturing,DEU,07-2020,03-2019,null,null,False,4.5 to 6.0 billion USD,null,Brandenburg,initial,True,False,actual,battery
ITA-01339-00912_07_02_00,null,True,Alfa Romeo,battery_vehicle_assembly,ITA,null,null,null,09-2022,False,null,null,Naples,initial,False,False,operational,vehicle
ESP-07443-01118_06_00_00,null,True,Iberdrola,deployment,ESP,null,null,null,null,False,null,null,Caravaca de la Cruz,initial,True,False,actual,solar
PRT-07081-07738_06_00_00,42.5 MW,True,Endesa Portugal,deployment,PRT,04-2022,04-2022,null,06-2023,False,null,null,"""Alto Rabag\xE3o""",initial,False,,actual,solar
DEU-00094-00391_01_03_00,null,True,InoBat Auto,cell_manufacturing,DEU,null,null,null,null,False,null,null,Berlin,initial,True,False,announced,battery
DEU-00244-00024_01_04_01,null,True,Akasol,module_assembly,DEU,null,null,null,null,False,20 million EUR,null,Darmstadt,first expansion,True,False,actual,battery
DEU-01111-00120_07_02_00,null,True,CATL,battery_vehicle_assembly,DEU,07-2019,07-2019,null,null,False,1.8 billion EUR,1500,Thuringia,initial,True,False,operational,vehicle
AUT-01482-00434_01_04_00,null,True,Kreisel Electric,module_assembly,AUT,null,null,null,09-2017,False,null,null,Rainbach,initial,False,False,operational,battery
GBR-01037-00759_01_03_00,40 GWh,True,Tata Group,cell_manufacturing,GBR,null,07-2023,null,null,False,"""\xA34 billion""",4000,Somerset,initial,True,False,announced,battery
DEU-00119-00768_07_02_01,null,True,Tesla,battery_vehicle_assembly,DEU,07-2020,null,null,null,False,4.5 to 6.0 billion USD,null,Brandenburg,first expansion,True,False,actual,vehicle
DEU-00214-00274_07_02_00,null,True,Ford,battery_vehicle_assembly,DEU,null,null,null,null,False,null,null,Cologne-Merkenich,initial,True,False,announced,vehicle
PRT-01615-01058_01_00_00,15.6 MWh,True,Fluence,deployment,PRT,null,11-2021,null,null,False,null,null,Madeira,initial,True,,announced,battery
ITA-01352-01424_01_03_01,null,True,ACC,cell_manufacturing,ITA,null,null,null,null,False,null,null,Termoli,first expansion,True,False,cancelled,battery
GBR-01377-00114_01_03_00,null,True,Britishvolt,cell_manufacturing,GBR,null,null,null,null,False,null,null,North East England,initial,True,False,cancelled,battery
AUT-01482-00434_07_01_01,null,True,Kreisel Electric,EV_component_manufacturing,AUT,null,null,null,null,False,null,null,Rainbach,first expansion,True,False,actual,vehicle
PRT-06958-06729_01_00_00,null,True,Amorim Cork Composites,deployment,PRT,null,null,null,05-2022,False,null,null,Alqueva hydropower dam,initial,True,False,operational,battery
SWE-01026-00582_07_04_00,null,True,Northvolt,EV_recycling,SWE,null,06-2021,null,null,False,null,null,Skelleftea,initial,True,False,actual,vehicle
ESP-00947-00832_01_03_00,null,True,Volkswagen,cell_manufacturing,ESP,03-2023,null,null,06-2026,False,null,3500,Sagunt,initial,False,False,actual,battery
SWE-01026-00832_01_03_00,null,True,Volkswagen,cell_manufacturing,SWE,null,06-2022,null,null,False,null,null,Skelleftea,initial,True,False,announced,battery
BEL-00138-01131_01_02_00,null,True,Ionway,battery_materials,BEL,null,null,null,06-2030,True,null,null,Brussels,initial,False,False,announced,battery
BEL-00181-00728_01_03_00,null,True,Sonaca,cell_manufacturing,BEL,null,null,null,null,False,null,null,Charleroi,initial,False,False,announced,battery
DEU-00755-00702_01_03_00,null,True,Samsung,cell_manufacturing,DEU,null,null,null,null,False,null,null,Munich,initial,True,False,announced,battery
ESP-00964-00388_01_01_00,null,True,Infinity Lithium,materials_refining,ESP,null,null,null,null,False,null,null,"""San Jos\xE9""",initial,True,,announced,battery
SWE-01026-00582_01_05_01,null,True,Northvolt,recycling,SWE,null,null,null,null,False,null,null,Skelleftea,first expansion,True,False,actual,battery
AUT-00388-01320_01_01_00,null,True,TU Graz University,materials_refining,AUT,null,12-2020,null,null,False,null,null,Graz,initial,True,,announced,battery
FRA-00770-01424_01_03_01,null,True,ACC,cell_manufacturing,FRA,null,null,null,null,False,null,null,Nersac,first expansion,True,False,actual,battery
DEU-01111-00120_01_03_00,null,True,CATL,cell_manufacturing,DEU,07-2019,07-2019,null,null,False,1.8 billion EUR,1500,Thuringia,initial,True,False,actual,battery
